textid	anger	disgust	fear	joy	sad	surprise
130	0.0883109	0.0533188	0.159396	0.278413	0.191238	0.229324
131	0.0876618	0.0533321	0.158438	0.278868	0.191906	0.229794
132	0.0878553	0.0534964	0.158905	0.277643	0.192596	0.229505
133	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
134	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
135	0.08769	0.0533545	0.158474	0.278742	0.191937	0.229802
136	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
137	0.0876903	0.0533703	0.158197	0.278853	0.191913	0.229977
138	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
139	0.08769	0.0533545	0.158474	0.278742	0.191937	0.229802
140	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
141	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
142	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
143	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
144	0.0877417	0.0534538	0.158315	0.27846	0.192136	0.229894
145	0.087324	0.0531366	0.158274	0.279445	0.191944	0.229876
146	0.0876979	0.0533841	0.158489	0.278482	0.192005	0.229942
147	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
148	0.0875772	0.0533942	0.158047	0.278834	0.191689	0.230458
149	0.0875949	0.0533028	0.158373	0.278799	0.191989	0.229941
150	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
151	0.0875385	0.0532473	0.158392	0.278244	0.192937	0.22964
152	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
153	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
154	0.0877263	0.0533017	0.158828	0.278579	0.191874	0.229691
155	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
156	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
157	0.0877499	0.0533639	0.158519	0.278695	0.191884	0.229789
158	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
159	0.0876089	0.053318	0.158277	0.278984	0.191542	0.23027
160	0.0877605	0.0534413	0.158729	0.278327	0.191953	0.229789
161	0.08769	0.0533545	0.158474	0.278742	0.191937	0.229802
162	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
163	0.08781	0.0535692	0.158375	0.278567	0.191908	0.229771
164	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
165	0.08769	0.0533545	0.158474	0.278742	0.191937	0.229802
166	0.0883766	0.0537101	0.15883	0.277773	0.192053	0.229258
167	0.0876981	0.0533573	0.158484	0.278723	0.191941	0.229797
168	0.0877236	0.0534457	0.158298	0.278505	0.192125	0.229903
169	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
170	0.0878505	0.0534215	0.158687	0.278373	0.192077	0.229591
171	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
172	0.0880169	0.0535774	0.159372	0.277501	0.19218	0.229353
173	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
174	0.0878734	0.0534858	0.159092	0.278241	0.191874	0.229435
175	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
176	0.0877589	0.0532457	0.158929	0.277796	0.192829	0.229442
177	0.0876306	0.0536078	0.158334	0.278805	0.191977	0.229645
178	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
179	0.0879305	0.053409	0.158902	0.278266	0.191856	0.229636
180	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
181	0.0876583	0.0533295	0.158507	0.278552	0.191829	0.230124
182	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
183	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
184	0.087797	0.0533815	0.158627	0.278363	0.192077	0.229754
185	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
186	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
187	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
188	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
189	0.0878565	0.0534097	0.158668	0.278665	0.191734	0.229667
190	0.087692	0.0533185	0.158561	0.27865	0.192098	0.22968
191	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
192	0.0881778	0.0532939	0.159148	0.27777	0.191947	0.229663
193	0.0876728	0.0534444	0.15821	0.278715	0.192013	0.229945
194	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
195	0.0876867	0.0533394	0.158544	0.278568	0.192175	0.229686
196	0.0878447	0.0532795	0.158446	0.278961	0.191638	0.22983
197	0.0877726	0.0534545	0.15877	0.277952	0.192451	0.2296
198	0.0878069	0.0534135	0.159029	0.27718	0.193319	0.229251
199	0.0876253	0.0534507	0.158541	0.278892	0.191798	0.229693
200	0.0877753	0.0535246	0.158689	0.277726	0.19256	0.229726
201	0.0885507	0.0537632	0.159189	0.277439	0.192303	0.228756
202	0.0877938	0.0533907	0.158598	0.278501	0.19198	0.229737
203	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
204	0.0876793	0.0534032	0.158601	0.278589	0.191959	0.229768
205	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
206	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
207	0.0876445	0.0533378	0.158468	0.278528	0.192166	0.229856
208	0.08769	0.0533545	0.158474	0.278742	0.191937	0.229802
209	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
210	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
211	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
212	0.0882049	0.0536738	0.158923	0.277789	0.192206	0.229203
213	0.0876993	0.0537242	0.158561	0.278386	0.192046	0.229582
214	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
215	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
216	0.087823	0.0534847	0.158256	0.278412	0.192228	0.229796
217	0.08769	0.0533545	0.158474	0.278742	0.191937	0.229802
218	0.08769	0.0533545	0.158474	0.278742	0.191937	0.229802
219	0.0877447	0.0534608	0.158509	0.278525	0.191893	0.229868
220	0.0878553	0.0534964	0.158905	0.277643	0.192596	0.229505
221	0.0877562	0.0533678	0.158547	0.278732	0.191937	0.22966
222	0.0876947	0.0533715	0.158199	0.278893	0.191912	0.22993
223	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
224	0.0876206	0.0532759	0.158953	0.277862	0.192102	0.230186
225	0.087939	0.0535001	0.158849	0.277989	0.192255	0.229467
226	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
227	0.0878553	0.0534964	0.158905	0.277643	0.192596	0.229505
228	0.0875758	0.0533361	0.15832	0.279159	0.191735	0.229875
229	0.0876056	0.0532958	0.159192	0.2783	0.191698	0.229909
230	0.0877809	0.0533713	0.158541	0.278751	0.191906	0.229651
231	0.0878517	0.0533781	0.158408	0.278342	0.192029	0.229991
232	0.0875653	0.0532863	0.158397	0.278954	0.191896	0.229902
233	0.0875687	0.0534735	0.158534	0.278213	0.192099	0.230112
234	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
235	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
236	0.0880121	0.0533386	0.158898	0.278585	0.191669	0.229497
237	0.0877938	0.0533907	0.158598	0.278501	0.19198	0.229737
238	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
239	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
240	0.0876977	0.0533474	0.158513	0.278744	0.191847	0.229852
241	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
242	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
243	0.0877692	0.0533737	0.158549	0.278712	0.191912	0.229684
244	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
245	0.0877209	0.0533019	0.159127	0.278196	0.192089	0.229565
246	0.0877667	0.0533705	0.158814	0.278411	0.191945	0.229693
247	0.0878963	0.0534119	0.158495	0.278287	0.191855	0.230055
248	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
249	0.087891	0.0533341	0.158526	0.278148	0.191858	0.230244
250	0.087627	0.0533324	0.1584	0.278888	0.191911	0.229842
251	0.0879949	0.0533408	0.158371	0.278632	0.191931	0.229729
252	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
253	0.0876312	0.0532512	0.158558	0.278867	0.19215	0.229543
254	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
255	0.0876493	0.0532911	0.158416	0.279036	0.192006	0.229601
256	0.0877601	0.0533701	0.158537	0.278658	0.191906	0.229769
257	0.0876296	0.053441	0.158357	0.278517	0.192243	0.229812
258	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
259	0.0883041	0.0536341	0.158711	0.277847	0.192165	0.229339
260	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
261	0.0876664	0.053359	0.158483	0.278541	0.191885	0.230066
262	0.0875891	0.0535778	0.15861	0.278144	0.192446	0.229633
263	0.0882362	0.0533509	0.158569	0.278394	0.191503	0.229947
264	0.0880626	0.0533919	0.15832	0.278603	0.191579	0.230043
265	0.08769	0.0533545	0.158474	0.278742	0.191937	0.229802
266	0.0876356	0.0534377	0.158599	0.277994	0.192235	0.230099
267	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
268	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
269	0.0878761	0.053468	0.15846	0.278502	0.191834	0.22986
270	0.0875229	0.0533728	0.1584	0.278782	0.192108	0.229814
271	0.08769	0.0533545	0.158474	0.278742	0.191937	0.229802
272	0.0880111	0.0535394	0.158707	0.278216	0.191974	0.229552
273	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
274	0.0877741	0.0533993	0.158569	0.278629	0.192024	0.229605
275	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
276	0.0875603	0.0533091	0.157991	0.279207	0.191632	0.230301
277	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
278	0.0875423	0.05327	0.158123	0.279535	0.191641	0.22989
279	0.0876836	0.0533239	0.158578	0.278297	0.192417	0.2297
280	0.0879131	0.0533896	0.158701	0.278358	0.192083	0.229555
281	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
282	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
283	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
284	0.0878734	0.0533446	0.15833	0.279006	0.191685	0.229761
285	0.0877225	0.0533749	0.158398	0.27875	0.192065	0.22969
286	0.0877739	0.0533727	0.158424	0.278458	0.191769	0.230203
287	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
288	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
289	0.0878963	0.0534119	0.158495	0.278287	0.191855	0.230055
290	0.0876011	0.0532932	0.158988	0.278516	0.192074	0.229528
291	0.0877201	0.0533409	0.158683	0.278702	0.191955	0.229599
292	0.0876299	0.0533137	0.158409	0.278782	0.192123	0.229742
293	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
294	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
295	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
296	0.087871	0.0535723	0.158535	0.278414	0.192136	0.229471
297	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
298	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
299	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
300	0.0886157	0.0539418	0.15971	0.276171	0.193084	0.228478
301	0.08769	0.0533545	0.158474	0.278742	0.191937	0.229802
302	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
303	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
304	0.0877683	0.053407	0.158543	0.278343	0.192101	0.229838
305	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
306	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
307	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
308	0.0882762	0.053654	0.15873	0.277912	0.192	0.229428
309	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
310	0.0879927	0.0533254	0.158778	0.278642	0.191623	0.229638
311	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
312	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
